;00017211000137;DANIEL PATRICIO SANCHEZ LABADIA;8;122900;AVENIDA;NOSSA SENHORA DO SABARA;3137;;VILA ARRIETE;4447020;SP;SAO PAULO;;;;;5
;00017358000127;MARICULTURA DO MARANHAO LTDA;2;322101;AVENIDA;DO ESTADO;4667;2 ANDAR;MOOCA;3105000;SP;SAO PAULO;;;;;1
;00017599000176;NISBEL BISPO DA SILVA;8;322101;RUA;BAIA GRANDE;430;;VILA ALPINA;3202000;SP;SAO PAULO;;;;;5
;00018207000193;PAULO CELSO MANCUZO;8;322101;RUA;CARAIPE DAS AGUAS;154;;ITAIM PAULISTA;8161360;SP;SAO PAULO;;;;;5
;00019236000170;EMS EMPREENDIMENTOS COMERCIO E PARTICIPACOES LTDA;2;122900;AVENIDA;CHIBARAS;74;ANDAR /PARTE;MOEMA;4076000;SP;SAO PAULO;11 32591911;;;THIAGO@FISCONEPROSPER.COM.BR;1
;00019351000144;REALCE HOSPEDARIA LTDA;8;311601;RUA;VOLUNTARIOS DA PATRIA;645;;SANTANA;2011000;SP;SAO PAULO;;;;;5
;00019658000145;FQ INDUSTRIA E COMERCIO LTDA;8;153902;RUA;MARIA AFONSO;225;;CHACARA MAFALDA;3370020;SP;SAO PAULO;;;;;1
;00020641000108;BAR JARDIM TOBIAS LTDA;4;322101;RUA;JOAO DE LOAJA;104;;JARDIM TOBIAS;2755150;SP;SAO PAULO;;;;;1
;00021122000164;ESAR COMERCIO E REPRESENTACOES LTDA;2;311601;RUA;ALACRAN;67;;VILA IVA;3910090;SP;SAO PAULO;;;;;1
;00021513000189;ADRIATICO AGRO PASTORIL E COMERCIO LTDA;8;162899;RUA;TOME PORTES;289;;PARADA INGLESA;2241010;SP;SAO PAULO;11 33130499;;;;5
;00021514000123;RQT AGRO PASTORIL E COMERCIO LTDA;8;162899;ALAMEDA;BARAO DE LIMEIRA;985;1 ANDAR;CAMPOS ELISEOS;1202002;SP;SAO PAULO;;;;;5
;00022617000108;MDSERV AGROPECUARIA LTDA;4;159899;ALAMEDA;CAMPINAS;1630;;JD PAULISTA;1404002;SP;SAO PAULO;;;;;1
;00022617000299;MDSERV AGROPECUARIA LTDA;4;322105;RUA;ESTADOS UNIDOS;325;;JARDIM PAULISTA;1427000;SP;SAO PAULO;;;;;1
;00023386000157;LUIZ CARLOS RODRIGUES BAR E LANCHES;4;322101;RUA;MINERIOS ATOMICOS;302;;VILA ANTONIETA;3476020;SP;SAO PAULO;;;;;1
;00023704000180;BROOKS AGROPECUARIA LTDA;2;151201;AVENIDA;ROQUE PETRONI JUNIOR;999;ANDAR 1 SALA 13 E 14B;VILA DAS GERTRUDES;4707910;SP;SAO PAULO;11 38166658;;;lccontabil@netpoint.com.br;5
;00024140000108;AGUAS VIRTUOSAS PAES E DOCES LTDA;8;322101;RUA;AGUAS VIRTUOSAS;864;;CASA VERDE;2532000;SP;SAO PAULO;;;;;5
;00024571000166;BAR E LANCHES REI DE OURO LTDA;8;322101;RUA;DA CAVALGADA;91;;PROM FERNAO DIAS;2161030;SP;SAO PAULO;;;;;5
;00025008000102;BAR JUITA LTDA;8;322101;RUA;VISCONDE DE MAGE;86;;SACOMAN;4248080;SP;SAO PAULO;;;;;5
;00025579000147;PAULO RAMOS DA SILVA BAR;8;322101;RUA;MARIA CASUSA FEITOSA;23;;JORDANOPOLIS;4830000;SP;SAO PAULO;;;;;1
;00026061000128;DURVALY APARECIDA BASSO;8;322101;RUA;PELOTAS;83;BOX KI KREPPE;VILA MARIANA;4012000;SP;SAO PAULO;;;;;1
;00026250000109;ANGELES OF NIGHT BAR LTDA MICROEMPRESA;8;322101;AVENIDA;SAPOPEMBA;2656;;SANTA CLARA;3345000;SP;SAO PAULO;;;;;5
;00026394000157;BAR E MERCEARIA VOCE ESCOLHE LTDA;8;322101;RUA;DA GLORIA;947;;LIBERDADE;1510001;SP;SAO PAULO;;;;;5
;00026890000100;L A CEARA BAR E MERCEARIA LTDA;8;322101;AVENIDA;ENG ARMANDO ARRUDA PERE;5470;;JABAQUARA;4325000;SP;SAO PAULO;;;;;5
;00029218000250;ARTPAR AGRO COMERCIAL LTDA;8;134200;RUA;HUMBERTO I;220;5 AND CJ 51A S 3;VILA MARIANA;4018030;SP;SAO PAULO;;;;;5
;00029273000169;GENIVALDO SANTANA SILVA DRINKS;8;322101;RUA;AUGUSTA;791;TERREO;BELA VISTA;1305100;SP;SAO PAULO;;;;;5
;00030145000135;WILSON MONTEIRO BAR E LANCHES;8;322101;RUA;ARNALDO MAGNICCARO;687;;CAMPO GRANDE;4691060;SP;SAO PAULO;;;;;1
;00061927000131;PEDRO J CALAZANS MENDES REPRESENTACAO COMERCIAL S/C LT;4;161099;RUA;CEL LOPES BRANCO;37;;JD BRASIL;2221020;SP;SAO PAULO;;;;;1
;00088924000191;SALVAMOTO SERV. DE APOIO AO MOTOCICLISTA S/C LTDA;8;111301;RUA;ABAITINGA;306;;SAO MIGUEL PAULISTA;8010360;SP;SAO PAULO;;;;;5
;00109196000157;BAR E LANCHES JUSEVI LTDA;8;322101;AVENIDA;CUPECE;5237;;CIDADE ADEMAR;4365001;SP;SAO PAULO;;;;;5
;00109449000192;CARIS ADMINISTRACAO DE BENS LTDA;4;161099;RUA;BELA CINTRA;2080;3 AND.;CONSOLACAO;1415002;SP;SAO PAULO;;;;;1
;00111572000148;FERTHAGA'S BAR E EMPORIO LTDA;8;322101;RUA;MANUEL DA COSTA;329;;PRQ SAO LUCAS;3262000;SP;SAO PAULO;;;;;5
;00112230000142;BAR E MERCEARIA A S REIS LTDA;8;322101;RUA;DR JOAO ALVES DE LIMA;196;;BRAS;3052060;SP;SAO PAULO;;;;;1
;00114475000109;AGROROSIS PASTORIL E COMERCIAL LTDA;4;151201;RUA;PIASSANGUABA;1869;;INDIANOPOLIS;4060003;SP;SAO PAULO;;;;;1
;00124526000183;VICTORIA'S CLUB BAR E CAFE LTDA;8;322101;AVENIDA;JOAO PEDRO CARDOSO;537;;PQUE JABAQUARA;4355001;SP;SAO PAULO;;;;;1
;00126110000102;AGROPECUARIA FLOR DA SERRA LTDA;8;151201;RUA;GALVAO BUENO;700;15. ANDAR SALA 1504;LIBERDADE;1506000;SP;SAO PAULO;;;;;5
;00128551000135;AQUARINI COMERCIO DE FEIXES LTDA;8;322101;RUA;VITORINO CARMILO;339;;CAMPOS ELISEOS;1153000;SP;SAO PAULO;;;;;5
;00130430000128;RESTAURANTE TRIO SABOROSO LTDA;8;322101;RUA;GUAICURUS;1192;;LAPA;5033002;SP;SAO PAULO;;;;;5
;00130494000129;BAR LANCHES E MERCEARIA RECANTO DO ESCOLHIDO LTDA;4;322101;RUA;ROCHA;252;;BELA VISTA;1331000;SP;SAO PAULO;;;;;1
;00134375000144;AGROPECUARIA PALESTINA LTDA;8;111301;RUA;LIBERO BADARO;377;28 ANDAR;CENTRO;1009000;SP;SAO PAULO;;;;;5
;00138375000112;NOVO SOL DE VERAO BAR E LANCHES LTDA;8;322101;RUA;DOS RADIALISTAS;51;A;PRQ SAO DOMINGOS;5121030;SP;SAO PAULO;;;;;5
;00139836000171;SANDRA MARIA VASCONCELOS PEREIRA;8;322101;RUA;TITO FRANCO DE ALMEIDA;194;;PARQUE BOTURUSSU;3803030;SP;SAO PAULO;;;;;5
;00139897000139;COMEZAINA BAR LTDA;8;322101;RUA;DR ASSIS RIBEIRO;8428;;JD MATARAZZO;3827001;SP;SAO PAULO;;;;;5
;00139905000147;IND E COM. DE MODELO P/FUNDICAO MARTSFERRA LTDA;8;122900;AVENIDA;TERESA CRISTINA;160;;IPIRANGA;1553000;SP;SAO PAULO;;;;;1
;00143890000190;AGUINALDO AMANCIO DE SOUSA BAR;8;322101;RUA;DOUTOR ASSIS RIBEIRO;27;A;JARDIM MATARAZZO;3827001;SP;SAO PAULO;;;;;5
;00144052000131;MANOEL XAVIER DE ALMEIDA IRMAO BAR E LANCHONETE;4;322101;AVENIDA;CARLOS LACERDA;289;;V PIRAJUSSARA;5789000;SP;SAO PAULO;;;;;1
;00144104000170;DRINKAO BAR E LANCHES LTDA;2;322101;RUA;BOM PASTOR;128;;IPIRANGA;4203000;SP;SAO PAULO;;;;;1
;00144256000172;FILHO E LUZ BAR E MERCEARIA LTDA;8;322101;RUA;MARQUES DE ABRANTES;21;;TATUAPE;3060020;SP;SAO PAULO;;;;;5
;00144298000103;JUVENAL SALVINO LEITE;4;322101;RUA;MITUTO MIZUMOTO;589;;LIBERDADE;1513010;SP;SAO PAULO;;;;;1
;00144392000162;MARIA GUIA MAXIMIANO;8;322101;RUA;15;27;;ITAIM PAULISTA;8120000;SP;SAO PAULO;;;;;5
;00144419000117;ADEILDO DOS SANTOS BAR LANCHES;8;322101;RUA;GAL PROFIRIO DA PAZ;686;;VILA BANCARIA;3918000;SP;SAO PAULO;;;;;1
;00144707000171;JOSE FRANCISCO MARTINS BAR E CAFE;8;322101;RUA;AURI VERDE;1551;;IPIRANGA;4222002;SP;SAO PAULO;;;;;5
;00146446000129;ESPETOS & FESTAS ESPETINHOS PARA VIAGENS LTDA;4;322101;RUA;ATILIO PIFFER;35;;CASA VERDE;2516000;SP;SAO PAULO;;;;;1
;00148668000180;TRI-AGRO PECUARIA E AGRICOLA S/A;2;162899;AVENIDA;ROUXINOL;174;CONJ 42;MOEMA;4516000;SP;SAO PAULO;11 35674705;;;contabilfarias@terra.com.br;5
;00148668000261;TRI-AGRO PECUARIA E AGRICOLA S/A;2;162899;RUA;DIOGO MOREIRA;286;;JARDIM PAULISTANO;5423010;SP;SAO PAULO;;;;;5
;00148668000423;TRI-AGRO PECUARIA E AGRICOLA S/A;2;162899;AVENIDA;BRIG FARIA LIMA;2003;CONJUNTO 2207;JARDIM PAULISTANO;1451913;SP;SAO PAULO;;;;;5
;00150905000148;JOSE ROBERTO DE MELO FILHO LANCHONETE;8;322101;RUA;LUCIANO MURATORE;12;;V MISSIONARIA;4430020;SP;SAO PAULO;;;;;5
;00150942000156;EMIDIO JORGE DO NASCIMENTO BAR E LANCHONETE;8;322101;AVENIDA;NORDESTINA;4877;;VILA CURUCA;8032000;SP;SAO PAULO;;;;;5
;00151817000241;C.R.DISTRIBUIDORA DE ALIMENTOS LTDA;2;155501;RUA;CABO JOSE TEIXEIRA;212;;GUAIANAZES;8451010;SP;SAO PAULO;011 2075828;;011 2071000;;1
;00152748000100;BAR E LANCHES MOGNOS LTDA;8;322101;AVENIDA;PROFESSOR PAPINI;388;;CID DUTRA;4805300;SP;SAO PAULO;;;;;1
;00153705001382;KORIN AGROPECUARIA LTDA;8;122900;RUA;FRANCA PINTO;498;;VL MARIANA;4016002;SP;SAO PAULO;;;;;5
;00155434000160;GUAICARAS AGRO FLORESTA LTDA;8;210106;RUA;PROF JOSE H M TEIXEIRA;538;CJ 152;VILA SONIA;5630130;SP;SAO PAULO;;;;;5
;00156474000127;EMERSON F. L. VIDOTTO HOSPEDAGEM;8;311601;ALAMEDA;FRANCA;175;TERREO;CERQUEIRA CEZAR;1422000;SP;SAO PAULO;;;;;5
;00156651000175;BAR E LANCHONETE RECANTO DA GAUCHA LTDA;4;322101;RUA;IBITURUNA;35;TERREOLOJA;PARQUE IMPERIAL;4302050;SP;SAO PAULO;11 55894930;11 55897665;11 55897665;contato@solidacontabil.com;1
;00157085000116;PRO SERV COMERCIO DE REFEICOES LTDA;8;322101;RUA;JOAO AMOS COMENIUS;1288;;JD S BERNARDO;4844680;SP;SAO PAULO;;;;;1
;00157833000160;LANCHONETE OCTASEVE LTDA;8;322101;RUA;LUDGERO JOAQUI DA SILVA;13;;IMRIM;2472040;SP;SAO PAULO;;;;;5
;00158619000129;BAR E LANCHES AMARGOSA LTDA;8;322101;RUA;GOMES CARDIM;323;;BRAS;3050000;SP;SAO PAULO;;;;;1
;00158894000142;MARIA ZIZI LEITE BOVOLON;8;322101;RUA;BENTO QUIRINO;571;;VILA TALARICO;3534010;SP;SAO PAULO;;;;;5
;00159456000107;CECILIA GONCALVES DE OLIVEIRA MACKEY MARTINS;8;322101;RUA;PE PASCOAL ROCHIDROX;160;;LAUZANE PAULISTA;2442070;SP;SAO PAULO;;;;;5
;00159716000136;NIGHT BOY'S BAR LTDA;8;322101;ALAMEDA;NOTHMANN;1220;;SANTA CECILIA;1216000;SP;SAO PAULO;;;;;5
;00160869000101;TIMBALADA LANCHES LTDA;8;322101;RUA;NOVA LOUSA;118;;IPIRANGA;4334000;SP;SAO PAULO;;;;;5
;00160979000165;MARIA APARECIDA DE OLIVEIRA BAR E MERCEARIA;4;322101;RUA;DEZOITO;17;;JD CAMARGO NOVO;8121000;SP;SAO PAULO;;;;;1
;00161351000184;PECTRON ELETRO COMPONENTES LTDA;8;134200;RUA;AMAZONAS DA SILVA;263;;VILA GUILHERME;2051000;SP;SAO PAULO;;;;;1
;00162348000185;JOSE EDUARDO DA SILVA MELLO;8;161099;RUA;GALEAZZO ALESSI;96;;VL MONTE ALEGRE;4305050;SP;SAO PAULO;;;;;1
;00163057000101;BAR E LANCHES DORA FLORA LTDA;8;322101;RUA;CORIOLANO;936;;VL ROMANA;5047000;SP;SAO PAULO;;;;;5
;00163647000134;CLAUDINEI BERNE;8;322101;RUA;NOVA DOS PORTUGUESES;463;;IMIRIM;2468080;SP;SAO PAULO;;;;;5
;00163833000173;BAR E LANCHES JOMIRO LTDA;8;322101;ALAMEDA;BARAO DE PIRACICABA;185;;CAMPOS ELISEOS;1216010;SP;SAO PAULO;;;;;5
;00167069000104;BAR E LANCHES MARADONA LTDA;8;322101;RUA;3 SG JOAO LOPES FILHO;423;;PQ NOVO MUNDO;2178010;SP;SAO PAULO;;;;;5
;00169746000123;BAR E LANCHES TETRA LTDA;8;322101;RUA;AMARAL GURGEL;170;;VL BUARQUE;1221000;SP;SAO PAULO;;;;;5
;00169890000160;OTACILIO FERREIRA SILVA;4;322101;RUA;URUBIATA;26;;JD ARNALDO;4918070;SP;SAO PAULO;;;;;1
;00178342000104;LUZIA GOMES DA FONSECA BAR E LANCHES;8;322101;AVENIDA;DNA MARIANA C RONCHETTI;458;;CACHOEIRINHA;2650000;SP;SAO PAULO;;;;;5
;00178578000132;ADEVAIR MARCO ANDRE AVICOLA;8;322101;ESTRADA;DO M'BOI MIRIM;1870;1873;PQUE FIGUEIRA GDE;4905001;SP;SAO PAULO;;;;;5
;00188418000174;ELIS REGINA PINA MARTINIANO;8;322101;RUA;DEZ;8;;MATO VIRGEM;8473100;SP;SAO PAULO;;;;;1
;00198029000120;TESORE REPRESENTACAO COMERCIAL LTDA;8;161099;RUA;DOS OPERARIOS;524;;VL BRASILINA;4161000;SP;SAO PAULO;;;;;5
;00198872000106;AGROPECUARIA SIBIPIRUNA LTDA;8;161099;RUA;TREZE DE MAIO;431;SALA 02;BELA VISTA;1327000;SP;SAO PAULO;11 95388378;11 66011009;11 36620085;stevescholici@uol.com.br;5
;00206517000131;MARIA JOSE LOPES COSTA BAR;8;322101;RUA;MARQUES DE ITU;284;;VILA BUARQUE;1223000;SP;SAO PAULO;;;;;5
;00206745000101;FRANCARLOS BAR E LANCHES LTDA;4;322101;RUA;PE SABOIA DE MEDEIROS;983;;VL MEDEIROS;2134001;SP;SAO PAULO;;;;;1
;00208881000130;AGROPECUARIA RIO GUAPORE LTDA;2;151201;RUA;PEDROSO ALVARENGA;1245;6 ANDAR;ITAIM;4531012;SP;SAO PAULO;;;;;1
;00210996000160;EDNA LEONEL FERREIRA BAR E LANCHES;4;322101;RUA;FRANCISCA DE PAULA;496;;VL CARRAO;3436000;SP;SAO PAULO;;;;;5
;00211187000172;BAR E LANCHES DEDEQUIRINO LTDA;2;322101;RUA;HELENA ZERRENER;320;;GLICERIO;1512020;SP;SAO PAULO;;;;;1
;00213779000123;ADALBERTO RODRIGUES DE MORAES;8;322101;RUA;DOMINGOS SCARPEL;79;;ERMELINDO MATARAZZO;3809100;SP;SAO PAULO;;;;;1
;00216074000160;J FERREIRA LEITE;8;322101;RUA;PEDRO TALARICO;658;;VL TALARICO;3534000;SP;SAO PAULO;;;;;5
;00216371000105;BAR E LANCHES ALVES E SILVEIRA LTDA;4;322101;RUA;PALMEIRA LACA;220;;JD ELIANE;3577090;SP;SAO PAULO;;;;;1
;00217430000240;RIO PARDO AGRO FLORESTAL S/A;8;210101;AVENIDA;SAO GABRIEL;180;7 AND CONJUNTO 71;JD PAULISTA;2282000;SP;SAO PAULO;;;;;5
;00220333000126;ANTONIO CORDEIRO CAVALCANTE;8;322101;RUA;MOISES MARX;1153;;VL ARICANDUVA;3507000;SP;SAO PAULO;;;;;5
;00221246000193;GERSIL BAR E LANCHES LTDA;8;322199;RUA;POLIGNANO A MARE;90;;BRAS;3005040;SP;SAO PAULO;;;;;1
;00222837000185;EDITH DE OLIVEIRA;8;322101;RUA;JANDAIA;92;A;LIBERDADE;1320000;SP;SAO PAULO;;;;;5
;00224567000141;BAR E MERCEARIA PEDRO JABUR LTDA;2;322101;RUA;DR PEDRO JABUR;149;;VILA BONILHA;2918010;SP;SAO PAULO;;;;;1
;00224650000110;WAL BRAZ BAR LTDA;8;322101;AVENIDA;MIGUEL ESTEFANO;2255;;VILA DA SAUDE;4301000;SP;SAO PAULO;;;;;5
;00224697000184;FLAVIO ANDRADE DIAS;8;322101;AVENIDA;JOSE MUNIZ RIBEIRO;109;;VILA PARANAGUA;3807010;SP;SAO PAULO;;;;;5
;00224701000104;FRANCISCA LACERDA DA SILVA;4;322101;RUA;JOSE MARIA VILELA;50;;VILA SILVIA;3819340;SP;SAO PAULO;;;;;5
;00225246000161;"CIGANO""S BAR E LANCHONETE LTDA";8;322101;RUA;DA MOOCA;674;;MOOCA;3104000;SP;SAO PAULO;;;;;5
;00225897000151;TREILER BAR LTDA;2;322101;AVENIDA;PARADA PINTO;1605;;JD CONTINENTAL;2611000;SP;SAO PAULO;;;;;1
;00226106000108;BAR E LANCHES CHICARELI LTDA;8;322101;RUA;LUPINOPOLIS;128;;JARDIM MARINGA;3525000;SP;SAO PAULO;;;;;5
;00228115000138;BAR E MERCEARIA VPS LTDA;8;322101;RUA;LUAR DO SERTAO;56;A;VALO VELHO;5879450;SP;SAO PAULO;;;;;5
;00228362000134;FRANCISCA L B DE CARVALHO BAR;8;322101;RUA;JOSE DE GOIS E MORAES;21;;PQ SAO RAFAEL;8311180;SP;SAO PAULO;;;;;5
;00228424000108;BAR E LANCHES CASAL FELIZ LTDA;8;322101;RUA;JOAQUIM MARRA;1183;;VL MATILDE;3514001;SP;SAO PAULO;;;;;5
;00228439000176;LAIS FILIZOLA;8;322101;RUA;PURPURINA;272;;VL MADALENA;5435030;SP;SAO PAULO;;;;;5
;00228575000166;SEBASTIAO PAULO DA SILVA BAR;8;322101;RUA;ITAPORA;317;A;PQ PAULISTANO;8080230;SP;SAO PAULO;;;;;5
;00229395000107;MARIA REGINA SGARBIOLA;8;322101;RUA;TIBAU DO SUL;28;;CID CONTINENTAL;3243070;SP;SAO PAULO;;;;;5
;00230807000110;JOSE ANTONIO C ALVES BAR E MERCEARIA;8;322101;RUA;CACHOEIRA SETE QUEDAS;28;;GUAIANAZES;8490000;SP;SAO PAULO;;;;;1
;00233533000113;BAR E LANCHES FGJ LTDA;4;322101;AVENIDA;GEN ATALIBA LEONEL;1781;;SANTANA;2033010;SP;SAO PAULO;;;;;5
;00237022000170;SOCORTE COMERCIO, EXPORTACAO E IMPORTACAO LTDA;8;153902;RUA;SENADOR FEIJO;30;CONJ 503;CENTRO;1006000;SP;SAO PAULO;11 61614343;;;ocpr@terra.com.br;1
;00239986000157;HAE JOON CHO;8;322101;AVENIDA;IMPERATRIZ LEOPOLDINA;1187;;VL LEOPOLDINA;5302001;SP;SAO PAULO;;;;;5
;00240314000161;TERRA GRANDIS REFLOR IND COM DE ESSENCIAS FLOR LTDA;8;230600;AVENIDA;JURUCE;194/6;4 AND SL 30;INDIANOPOLIS;4080010;SP;SAO PAULO;;;;;5
;00243282000158;KELLY CRISTINE CALDEIRA;8;322101;RUA;PROF PEDREIRA FREITAS;1278;;VL GOMES CARDIM;3410000;SP;SAO PAULO;;;;;5
;00243569000188;OSMAR COLTURATO;2;322101;RUA;DOM GIOCONDO GROTTI;61;;PQ SAO RAFAEL;8311120;SP;SAO PAULO;;;;;1
;00244777000100;ILUMI-BABY INDUSTRIA E COMERCIO DE ILUMINACAO LTDA;8;134200;RUA;EBAUBA;18;;VILA RE;3669020;SP;SAO PAULO;;;;;5
;00244949000137;BAR E SORVETERIA ANTONIETA LTDA;4;322101;RUA;QUINTA DA CONRARIA;2;;PQUE STO ANTONIO;5852480;SP;SAO PAULO;;;;;1
;00245264000105;GRASSO STUDIO S/C LTDA;8;210101;RUA;OSCAR FREIRE;1814;;JD.AMERICA;5409011;SP;SAO PAULO;;;;;1
;00245490000196;R.H.C. LANCHONETE LTDA;8;322101;RUA;SANTO ELIAS;41;;TATUAPE;3086050;SP;SAO PAULO;;;;;5
;00246151000124;AGROPECUARIA RIOS JUMA E GUARIBA LTDA;2;162899;RUA;GRAVATAI;23;"SALA: 158;";CONSOLACAO;1303040;SP;SAO PAULO;11 47267277;;;EZEQUIEL@ALTERNATIVAEEVOLUCAO.COM.BR;5
;00246154000168;MERCEARIA MEIRA & SOUZA LTDA;4;322101;PRACA;MARECHAL DEODORO;56;;SANTA CECILIA;1150010;SP;SAO PAULO;;;;;1
;00246753000181;JOSE AROLDO DIAS DE MEDEIROS;2;322101;RUA;MARQUES DESANTO AMARO;931;;VILA ALPINA;3205040;SP;SAO PAULO;11 97073296;11 20174470;11 20174470;sousa-celso@com.br;1
;00248253000189;BAR E LANCHES CASA DO NORTE EUCLIDES DA CUNHA LTDA;8;322101;RUA;SILVA BUENO;2533;LOJA 4;IPIRANGA;4208052;SP;SAO PAULO;;;;;5
;00253178000144;BRILHO DO SOL REFEICOES LTDA;8;322101;AVENIDA;IMIRIM;1340;;IMIRIM;2464200;SP;SAO PAULO;;;;;5
;00254027000100;LANCHES VADAO LTDA;8;322101;RUA;SAPUCAIA;441;;BELENZINHO;3170050;SP;SAO PAULO;;;;;1
;00254150000121;RASTELLI BAR E MERCEARIA LTDA;4;322101;RUA;MINISTRO LUIS SPARANO;228;;JD SANTA ADELIA;3970050;SP;SAO PAULO;;;;;1
