368000150;CASA MILITAR DO GABINETE DO GOVERNADOR;2;8411600;AVENIDA;MORUMBI;4500;2 ANDAR;MORUMBI;SP;SAO PAULO;11 21938305;;;NYAKAS@SP.GOV.BR;5
368000230;CASA MILITAR DO GABINETE DO GOVERNADOR;2;8411600;AVENIDA;MORUMBI;4500;ANDAR INTERMEDIARIO SALA 28;MORUMBI;SP;SAO PAULO;11 21938346;11 21938373;11 21938389;financascasamilitar@sp.gov.br;5
22945000104;JALUSA COMERCIO IMPORTACAO E EXPORTACAO LTDA;8;8411600;RUA;DR CANDIDO ESPINHEIRA;866;CONJ 01 SALA 03;PERDIZES;SP;SAO PAULO;;;;;5
38174002359;FUNDACAO UNIVERSIDADE DE BRASILIA;2;8411600;AVENIDA;LINS DE VASCONCELOS;3282;CONJ 92;VILA MARIANA;SP;SAO PAULO;115729279;;;;5
59311001360;FUNDACAO NACIONAL DO INDIO;2;8411600;RUA;APENINOS;912;;PARAISO;SP;SAO PAULO;;;;;5
65358000100;L. SERRANO CONSULTORIA E ASSESSORIA S/S LTDA;8;8411600;RUA;MARIA C. SENE;87;APTO 113;VL PAULICEIA;SP;SAO PAULO;;;;;5
1,5375E+11;JEFFERSON DE SOUZA FERNANDES;8;8411600;RUA;BONFIM;201;;MARANHAO;SP;SAO PAULO;;;;;5
2,11401E+11;CARTORIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS - 41. CARTORIO DE REGISTRO CIVIL;2;8411600;AVENIDA;CANGAIBA;950;;CANGAIBA;SP;SAO PAULO;011 2958309;;;;5
2,38367E+11;OCTOPUS AGRO-PECUARIA LTDA;8;8411600;AVENIDA;PAULISTA;1159;17 A CJ 1701 PARTE;CERQUEIRA CESAR;SP;SAO PAULO;;;;;5
3,0387E+11;ASSTENGMAN MANUTENCAO DE EQUIPAMENTOS S/C LTDA;8;8411600;AVENIDA;CAP ANSELMO BARCELOS;827;;ERMELINO MATARAZZO;SP;SAO PAULO;;;;;5
3,75114E+11;DEFENSORIA PUBLICA DA UNIAO;2;8411600;RUA;FERNANDO DE ALBUQUERQUE,;151/;157;CONSOLACAO;SP;SAO PAULO;11 32310866;;;;5
3,81056E+11;DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL;2;8411600;RUA;LOEFGREN;2225;;VILA CLEMENTINO;SP;SAO PAULO;;;;;5
