1;24711000104;CAMBRIANO MINERACAO LTDA;4;893200;AVENIDA;IPIRANGA;345;8 ANDAR CJ 804;CONSOLACAO;1046010;SP;SAO PAULO;;;;;1
;48785005999;INDAIA BRASIL AGUAS MINERAIS LTDA;8;893200;AVENIDA;RAIMUNDO P MAGALHAES;S N;KM 23800;PERUS;8210040;SP;SAO PAULO;;;;;5
;97170000217;POLIMETAL MINERACAO LTDA;8;724301;RUA;RODRIGO VIEIRA;11;SALA 72;JD VL MARIANA;4115060;SP;SAO PAULO;;;;;1
;104243000170;CHIVINE MINERACAO EXPORTACAO E IMPORTACAO LTDA;3;729404;AVENIDA;MIN LAUDO F DE CAMARGO;184;;JD PERI PERI;5537000;SP;SAO PAULO;;;;;1
;183919000168;H R MINERACAO LTDA;4;899199;RUA;FRANCISCO FERREIRA DE CARVALHO;174;;PARQUE EDU CHAVES;2233110;SP;SAO PAULO;;;;;1
;198034000132;ALOISIO AMARAL JUNIOR;8;893200;AVENIDA;AV MICHISA MURATA;S/N;TERRENO;PIRITUBA;2806160;SP;SAO PAULO;;;;;5
;322818000392;INDUSTRIAS NUCLEARES DO BRASIL S.A.INB;8;725100;RUA;DOMINGOS DE MORAIS;2102;CONJUNTO 14 E 15;VILA MARIANA;4036902;SP;SAO PAULO;;;;;5
;322818003901;INDUSTRIAS NUCLEARES DO BRASIL S.A.INB;2;725100;RUA;MIGUEL YUNES;S/N;ESQ AV INTERLAGOS;JURUBATUBA;4444000;SP;SAO PAULO;24 33218827;24 33218519;;GEPATFISCAL@INB.GOV.BR;5
;437483000510;MINERACAO DO SUDOESTE LTDA;2;899199;AVENIDA;BRIGADEIRO FARIA LIMA;1882;10 ANDAR CONJ.1004;PINHEIROS;1452917;SP;SAO PAULO;;;;;5
;573193000170;MINERACAO ITAPETININGA LTDA;8;893200;RUA;GUAIANAZ DA FONSECA;28;;VL MADALENA;5451050;SP;SAO PAULO;;;;;5
;578843000170;MARTA DA SILVA BARBOSA GODOI;8;729405;RUA;CUNHANREQUARO;209;;JD PERY;2676030;SP;SAO PAULO;;;;;5
;585176000152;GENIAL MINERACAO LTDA;4;990402;RUA;CARLOS BUZZI;5;C;BROOKLIN;4703040;SP;SAO PAULO;11 50449753;;11 50449753;neusacarvalho@uol.com.br;1
;688540000100;COOPERATIVA DE PRODUCAO INDUSTRIAL SAO PAULO LTDA;4;810006;RUA;BOTUROCA;136;;BUTANTA;5586010;SP;SAO PAULO;;;;;1
;766467000147;BRASBARITA MINERIOS LTDA;8;729404;RUA;KOTO MITSUTANI;12;;JD MITSUTANI;5791000;SP;SAO PAULO;;;;;5
;788946000245;COMPANHIA MINERAL BRASILEIRA S/A;2;724301;RUA;TABATINGUERA;140;SALA 1509;SAO PAULO;1020000;SP;SAO PAULO;;;;;5
;916822000117;GREEN COMERCIO E INDUSTRIA LTDA;8;893200;RUA;CEL PEDRO DIAS DE CAMPOS;1234;SL 03;VILA MATILDE;3508010;SP;SAO PAULO;;;;;5
